session_id,iso_time_utc,event_type,device_id,target,repetition,window_id,ok,predicted_label,correct,trusted,accuracy,accuracy_percent,pass_rate,pass_rate_percent,confidence,confidence_threshold,collect_ms,inference_ms,timing_wall_ms,timing_dsp_ms,timing_classification_ms,timing_anomaly_ms,free_memory_before_bytes,free_memory_after_bytes,free_memory_delta_bytes,min_free_memory_bytes,sample_count,sample_interval_ms,score_extension,score_flexion,score_pronation,score_radial_deviation,score_supination,score_ulnar_deviation,avg_pass_confidence,avg_inference_ms,summary_total_repetitions,summary_correct_count,summary_pass_count,summary_uncertain_count,error
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:09:54.711248Z,inference_result,xiao_esp32s3_ble_001,Extension,1,1,false,,false,false,0.0,0,,,0.0,0.85,849.217,0.0,0.0,0,0,0,,,,,33,60.606061,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,imu_read_failed
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:03.145423Z,inference_result,xiao_esp32s3_ble_001,Extension,2,2,true,Extension,true,true,1.0,100,,,0.882812,0.85,2000.879,1.255,1.255,0,1,0,247960,247960,0,,33,60.606061,0.882812,0.117188,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:11.588884Z,inference_result,xiao_esp32s3_ble_001,Extension,3,3,true,Flexion,false,true,0.0,0,,,0.996094,0.85,2000.951,1.253,1.253,0,1,0,248004,248004,0,,33,60.606061,0.0,0.996094,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:20.062668Z,inference_result,xiao_esp32s3_ble_001,Extension,4,4,true,Extension,true,true,1.0,100,,,0.996094,0.85,2000.971,1.253,1.253,0,1,0,248048,248048,0,,33,60.606061,0.996094,0.0,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:28.503691Z,inference_result,xiao_esp32s3_ble_001,Extension,5,5,true,Extension,true,true,1.0,100,,,0.964844,0.85,2000.883,1.254,1.254,0,1,0,248080,248080,0,,33,60.606061,0.964844,0.0,0.03125,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:36.974899Z,inference_result,xiao_esp32s3_ble_001,Extension,6,6,true,Flexion,false,true,0.0,0,,,0.996094,0.85,2000.9,1.259,1.259,0,1,0,248080,248080,0,,33,60.606061,0.0,0.996094,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:45.446734Z,inference_result,xiao_esp32s3_ble_001,Extension,7,7,true,Flexion,false,true,0.0,0,,,0.992187,0.85,2001.003,1.375,1.375,0,1,0,247960,248080,120,,33,60.606061,0.0,0.992187,0.0,0.0,0.0,0.007813,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:10:53.889007Z,inference_result,xiao_esp32s3_ble_001,Extension,8,8,true,Flexion,false,true,0.0,0,,,0.996094,0.85,2000.955,1.284,1.284,0,1,0,247784,247784,0,,33,60.606061,0.0,0.996094,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:11:02.352259Z,inference_result,xiao_esp32s3_ble_001,Extension,9,9,true,Extension,true,true,1.0,100,,,0.996094,0.85,2000.92,1.251,1.251,0,1,0,247784,247784,0,,33,60.606061,0.996094,0.003906,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:11:10.804731Z,inference_result,xiao_esp32s3_ble_001,Extension,10,10,true,Flexion,false,true,0.0,0,,,0.996094,0.85,2000.971,1.381,1.381,0,1,0,247960,248080,120,,33,60.606061,0.0,0.996094,0.0,0.0,0.0,0.0,,,,,,,
session_2026-07-13T08-07-19-670662Z,2026-07-13T08:11:11.022699Z,session_summary,xiao_esp32s3_ble_001,Extension,,,,,,,0.4,40.0,0.4,40.0,,,,,,,,,,,,247784,,,,,,,,,0.959961,1.285,10,4,4,0,
